"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
122,13.59,1,8.64,0,28.57,1.2,0,0.5,0.64,0,6,1366.73,7.25,0,0,0,"100133445","uc021oev.1",NA
123,6.27,13.58,32.42,0,81.95,0,27.76,1.11,0,2,0.5,1308.15,1.18,0,0.56,0,"8764","uc001ajt.1","TNFRSF14"
124,2.14,1.92,15.89,23.5,52.48,18.79,19.34,1.39,1.36,0,0,230.02,7.83,0,0.44,0,"8764","uc001ajr.3,uc009vlf.1,uc010nzc.1","TNFRSF14"
125,0,0,0,1,41.5,4.12,0,0,0,0,0,20,0,0,0,0,"127281","uc001aju.3,uc001ajv.2,uc001ajw.2,uc001ajx.2,uc010nzd.2,uc010nze.2,uc010nzf.2,uc021oew.1,uc021oex.1","FAM213B"
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79258","uc001ajy.2,uc009vlg.1","MMEL1"
127,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,"100287898","uc021oey.1","TTC34"
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tmx.1",NA
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tmy.1",NA
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"uc031tmz.1",NA
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"140625","uc001ajz.3","ACTRT2"
132,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,"440556","uc001aka.3","LINC00982"
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"440556","uc010nzg.1","LINC00982"
134,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,"63976","uc001akc.3,uc001ake.3,uc001akf.3,uc009vlh.3","PRDM16"
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100422968","uc021oez.1","MIR4251"
