"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
466,0,0,0,0,15,0,0,0
467,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0
472,43.6,7.06,9.62,15.36,689.75,192.37,52.1,17.03
473,0,0,0,1,11.1,0,0,0
474,79,20.41,0,0,0,0,6,2
475,3,2,99,3,51,90,0,1
476,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0
478,0,23.47,20.1,0,309.96,37,1.11,0
479,950.04,16.7,43.3,21.68,1828.28,158.21,39.48,21.07
480,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0
482,202.99,30.3,227.7,70.13,1200.01,400.13,413.82,61.3
483,63.9,410.08,277,13.97,453.39,155.53,44,35
484,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0
492,168.01,34.16,96.76,22.98,982.78,55.8,43.71,10.05
493,34.5,12.31,4.58,21.66,147.8,95.61,36.57,31.27
494,0,0,0,0,162,11,0,0
495,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0
499,0,0,0,0,110.74,28,30.15,0
500,0,0,0,0,0,0,0,0
501,1,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0
503,0,0,0,0,3,0,0,0
504,67.29,40.01,114.39,21.82,1725.23,782.2,45.87,108.01
505,0,0,0,0,91.5,0,0,0
506,3.28,0,0,0,405.4,6.05,133,1.01
507,0,0.34,0,0,44.16,14.56,2.09,1
508,21,5.02,10,2.78,20.74,27,3,0
509,116,145,33.99,47,3241.21,33,238.24,697
510,0,0,0,2.01,84.23,0.65,1,0
511,0,0,0,0,0,0,0,0
512,263.05,83.04,165.97,111.6,682.7,18.78,207.64,101.04
513,0,0,0,0,4,0,0,25.8
514,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0
518,0,0,0,0,33.94,0,0,0
519,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0
523,80,92,14.87,40,402.92,213.1,4,1
524,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0
527,1,4,107,56.33,160,1,6,3
528,0,0,0,0,0,0,0,0
529,1,0,0,3.91,111.63,7.93,6.18,7.57
530,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0
532,15.96,62.72,261.49,23,471.27,76.98,177,12.14
533,0,0,0,0,0,1,18.01,0
534,0,0,0,0.25,6,1,0,1
535,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,28,0
537,0,0,0,0,0,0,0,0
538,0,0,0,0,2,0,0,0
539,18.35,9.6,0,3.23,60.27,24.66,4.94,9.64
540,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0
543,8.9,9.02,1.59,7.33,439.33,50.01,28.96,4.96
544,1.38,0,0,0,2.19,1.84,0,0
545,562.01,294.17,515.71,57.01,397,51.95,6,45
546,2.62,0,0,0,8.4,19.71,6.23,2.34
547,0,0,0,0,0,0,0,0
548,471.58,1789.65,673.62,167.04,593.71,126.54,150.02,181.54
549,189.3,11,257.21,8,437.71,50.68,80.96,33
550,9.7,0,3.79,0,0,15.33,48.04,0
551,0,0,0,0,0,0,0,0
552,1,1,134.55,1,21,0,1,0
553,19,3,36,0,877.16,1,118.99,15
554,2,12.01,1,0,21.18,11.42,2.33,0
555,16.68,5,31,7.9,51.74,12.82,21.83,1.02
556,3,2,0,1,49,3,0,2
557,115.05,49,0,0,2,1,0,0
558,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0
562,212,32,1167.84,108.29,192.03,379,16.19,90
563,103.67,28.71,74.65,24.9,324.66,442.66,128.65,21.84
564,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0
571,0.44,0,0,3,123.51,33.64,18.65,15.11
572,0,0,0,0,0,0,0,0
573,138.53,41.64,18.54,6.47,1222.79,97.7,86.59,22.93
574,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0
579,0,1,0,0,194,0,0,0
580,2.98,0,8.91,0,2.31,7.55,1.01,69.31
581,73.13,26.16,1.05,3.68,77.29,141.61,33.23,80.28
582,0,0,0,0,0,0,0,0
583,1,215,159.99,4,170,3,224.13,10
584,0,0,0,0,0,0,0,33.56
585,8.4,14.48,3.05,9.48,234.83,87.91,32.06,40.47
586,807.2,164.17,514.88,348.07,3213.37,582.97,727.74,783.8
587,17,11,67.93,9,3819.97,351.36,2.68,0
588,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0
590,115.99,21,38.16,1,412.96,12.55,304.21,129.02
591,0,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0,0
593,93.22,57.95,14.21,54.41,127.58,55.17,36.22,22.6
594,237.23,1,37.51,0,659.49,180.15,427.01,99.77
